,fullname,id,likes,replies,retweets,text,timestamp,user
0,Mayray,919720223053438976,0,0,0, pakistanning: reservoirdogs: My brother is in Malala’s course in oxford and he just sent me this from... https://tmblr.co/Z6SUQu2R10Lm5 ,2017-10-16T00:22:43,MsMayray
1,julia,919724051513430019,1,0,1,mano a malala yousafzai no group chat do curso dela em oxford eu to !!!!!!! amei pic.twitter.com/VWtQJf2y7e,2017-10-16T00:37:56,juwlwia
2,London Economy,919741729133096962,0,0,0,Malala Yousafzai attends Oxford University matriculation ceremony http://www.telegraph.co.uk/education/2017/10/14/malala-yousafzai-attends-oxford-university-matriculation-ceremony/ …,2017-10-16T01:48:10,London_Economy
3,Aamu,919745929296695296,1,0,0,Malala just wore jeans and people are losing their shit! Koi haal nahi hamari awaam ka. ,2017-10-16T02:04:52,aamna_tweets
4,zishan tahir,919747563368210438,0,0,0,Great malala yousaf zai changed her look in oxford... pic.twitter.com/ByrO2Rpw5y,2017-10-16T02:11:21,zishanadv
5,ilhan,919758295166078976,13,0,5,"y are misogynists coming for malala because she wore jeans, home girl has a nobel peace prize and goes to oxford, what did your bum ass do?",2017-10-16T02:54:00,uhhilhan
6,EducationCollective,919762431592812545,0,0,0,Telegraph Opinion: Malala Yousafzai attends Oxford University matriculation ceremony http://edcol.org?l=4B97edcol.org/?l=4B97 ,2017-10-16T03:10:26,EducationCol
7,Karen Chestney,919781402106720256,1,0,0,"Malala Yousafzai nearly died for girls’ education. Today, she started at Oxford. https://www.huffingtonpost.com/entry/malala-yousafzai-oxford-university_us_59db9a7ce4b0b34afa5b1c0a?ncid=engmodushpmg00000004 … via @HuffPost",2017-10-16T04:25:49,KarenChestney
8,Venise Alstergren,919781783100538880,0,0,0,Just to wish you every possible success with your studies at Oxford.,2017-10-16T04:27:20,Venisejb
9,Pakistan Media Watch,919784955957440512,21,4,11,"Express newspaper blasts @Malala for wearing jeans after going to Oxford University, portrays it as a major sin #journalismpic.twitter.com/skEvO6KV71",2017-10-16T04:39:56,PakPressWatch
10,#NEONews,919785821489598469,0,0,0,"#Malala,Yosif Rai Ki Oxford & #Univarsty Li  Gai Ek, #Tasveer Ne Pore #Social Media Par Dhoom Macha Di.
#ARYNews
_
Follow @ARYTvMedia",2017-10-16T04:43:23,NEOHDNews
11,Madeena SHreef,919787559177240576,1,0,0,"#Malala,Yosif Rai Ki Oxford &amp; #Univarsty Li  Gai Ek, #Tasveer Ne Pore #Social Media Par Dhoom Macha Di.",2017-10-16T04:50:17,MadeenaShreef
12,vidyaswaroop saxena,919794821979443201,0,0,0,This viral photo of ‘Malala Yousafzai’ wearing jeans sparks huge online debate,2017-10-16T05:19:09,cheku1941
13,vidyaswaroop saxena,919795657212174336,0,0,0,This viral photo of ‘Malala Yousafzai’ wearing jeans sparks huge online debate http://indianexpress.com/article/trending/trending-globally/malala-yousafzai-apparently-wore-jeans-viral-photo-online-debate-4891667/ … via @IndianExpress,2017-10-16T05:22:28,cheku1941
14,Shiffa Z. Yousafzai,919799507935727616,2,1,1,Not that I am an advocate of #Malala but lambasting her 4 wearing jeans is SICK. For God sake shes one of us.,2017-10-16T05:37:46,Shiffa_ZY
15,Azhimukham,919806334643552256,0,0,0,മലാല യൂസഫ്‌സായ് ജീന്‍സിട്ടാല്‍ ആര്‍ക്കാണ് പ്രശ്‌നം? https://goo.gl/zAuJ6t  #malalayousafzai #jeans @Malala,2017-10-16T06:04:54,Azhimukham
16,corina,919811402956705792,1,0,0,"Malala, un vis împlinit - studentă la Oxford! - http://www.catchy.ro/malala-un-vis-implinit-studenta-la-oxford/117683 …",2017-10-16T06:25:02,corin_a
17,Deborah Kay,919815677963145216,10,0,0,"Malala Yousafzai Nearly Died For Girls’ Education. Today, She Started At Oxford. https://www.huffingtonpost.com/entry/malala-yousafzai-oxford-university_us_59db9a7ce4b0b34afa5b1c0a …",2017-10-16T06:42:01,debbiediscovers
18,John Keys,919819582906519552,0,0,0,"Malala Nearly Died For Girls’ Education. Today, She Started At Oxford.: The women's… https://goo.gl/fb/KEHFcZ ",2017-10-16T06:57:32,Keyzmax
19,Glo gang  ✨,919821596071620608,3,0,0,Malala Yousafzai’s first day as a student at Oxford. http://sixpenceee.com/post/166304148744/malala-yousafzais-first-day-as-a-student-at …,2017-10-16T07:05:32,gloriah_16
20,Sikandar Ali Hullio,919823902402072576,0,0,0,"A child with Teacher(s) at Oxford, with a Pen and a Book in her hand is going to Change the World. @Malala",2017-10-16T07:14:42,HullioSikandar
21,Paula Eveland,919824209488089089,0,0,0,"Malala Nearly Died For Girls’ Education. Today, She Started At Oxford.: The women's… https://goo.gl/fb/1vNujH ",2017-10-16T07:15:55,EvelwonderP
22,WorldNewsOffice,919829115989102592,0,0,0,"Malala Nearly Died For Girls’ Education. Today, She Started At Oxford.: The women's… https://goo.gl/fb/A5q2qx ",2017-10-16T07:35:25,WorldNewsOffice
23, ⬇ ↘ ➡  ✊ = Hadouken,919830188061528064,0,0,0,Malala Yousufzai bashed for ‘Oxford attire’ and it’s quite appalling pic.twitter.com/asEToxDAcC,2017-10-16T07:39:41,TheAsifAli
24,Aqeel Gill,919830907900571648,0,0,0,Malala Yousufzai bashed for ‘Oxford attire’ and it’s quite appalling http://ift.tt/2gIeTGe pic.twitter.com/rVAoabidmU,2017-10-16T07:42:32,realaqeelgill
25,Aqeel Gill,919832074298777601,0,0,0,Malala Yousufzai bashed for ‘Oxford attire’ and it’s quite appalling http://ift.tt/2gIeTGe pic.twitter.com/jnET6Z93zK,2017-10-16T07:47:10,realaqeelgill
26,Khurram Siddiqui,919833099705442304,1,0,0,Malala Nay Jeans Weans Pehan Li Touba Touba,2017-10-16T07:51:15,KhuurramSiddiqi
27,Khurram Siddiqui,919835293771030528,0,0,0,"18 Crore Members Of Judges Convicted @Malala Yousuf Zai For Wearing Jeans Weans Hayee Touba Toubaa 
@BushraGohar @nadeemmalik @HamidMirPAK",2017-10-16T07:59:58,KhuurramSiddiqi
28,Yasir Wattoo,919837689125457923,0,3,1,"Many girls in Islamabad , Lahore and Karachi wear jeans, if @Malala has to be criticized, those girls should be too. Do not discriminate her",2017-10-16T08:09:29,yesir786
29,Team Humanity,919840581395681281,0,0,0,#pakistan Malala Yousufzai bashed for ‘Oxford attire’ and it’s quite appalling pic.twitter.com/lDcMNTJ5WS,2017-10-16T08:20:59,waqas_jeee
30,Zia Ul Qamar Abbasi,919842378126692352,0,0,0,hairat ha ap or ap ki party ko Barma k musalmano ka zabah hona nai yad ata lakin malala ki jeans pe criticizam bht jaldi yaad aa jata ha,2017-10-16T08:28:07,Ziaabbasi007
31,Revisiting the Salaf,919843822179405824,1,0,0,"the Bakri morality police are going mad as #Malala was in jeans, yet have no issue with Aisha performing ghusl before men & suckling one",2017-10-16T08:33:51,naked_sunnism
32,BreakingNewsPakistan,919844014320336896,0,0,0,Malala Yousufzai bashed for ‘Oxford attire’ and it’s quite appalling - https://breakingnewspak.com/malala-yousufzai-bashed-for-oxford-attire-and-its-quite-appalling/ … #Pakistan,2017-10-16T08:34:37,BreakingNewPak
33,SJ,919845598164959232,0,0,0,Pakistanis on FB are discussing the way Malala is dressed when going to Oxford. This is the state of the country,2017-10-16T08:40:55,sjaay
34,BoxOffice Collection,919847548902363136,1,0,1,Malala Yousufzai bashed for ‘Oxford attire’ and it’s quite a #TISNews Click Link- http://tinyurl.com/y926qp29 ,2017-10-16T08:48:40,NewzBoxOffice
