0,fullname,id,likes,replies,retweets,text,timestamp,user,date,time,pos,neg,neu,comp
0,RoidRazer World,9.11E+17,0,0,0,I added a video to a @YouTube playlist http://youtu.be/N0TEK6buwVA?a  Ranbir Kapoor and Mahira khan are in relationship Confirmed,2017-09-21T19:33:02,Roidrazerworld,21/9/2017,19:33:02,0,0,1,0
1,Shubha,9.11E+17,1,1,0,Everyone knows what they were doing together. Ranbir has quite a reputation for it.,2017-09-21T19:33:28,AlphahuntersUAE,21/9/2017,19:33:28,0,0,1,0
2,Niraj,9.11E+17,0,0,0,haha ,2017-09-21T19:34:27,ImNirajS,21/9/2017,19:34:27,1,0,0,0.4588
3,Asad Jokhio,9.11E+17,2,0,0,@TheMahiraKhan pic.twitter.com/qqyJMFLXqn,2017-09-21T19:35:25,asadjokhio99,21/9/2017,19:35:25,0,0,1,0
4,Maha.,9.11E+17,13,0,6,"Don 3 
@iamsrk @TheMahiraKhan pic.twitter.com/eBDpKvMPxk",2017-09-21T19:35:41,MahaSRK1,21/9/2017,19:35:41,0,0,1,0
5,J,9.11E+17,0,0,0,Hahaha extremist,2017-09-21T19:35:49,iamjoogal,21/9/2017,19:35:49,0.783,0,0.217,0.5574
6,AB,9.11E+17,1,0,0,Looks like @TheMahiraKhan ?? pic.twitter.com/prNSjlOgzg,2017-09-21T19:35:51,HeyimAB,21/9/2017,19:35:51,0.417,0,0.583,0.4329
7,Google News Hindi,9.11E+17,1,0,0,"#RanbirKapoor #MahiraKhan #INDvAUS #DeepikaPadukone 

Ranbir Kapoor and Mahira khan are in relationship | Confirmed

https://youtu.be/N0TEK6buwVA pic.twitter.com/HD9WKVJctr",2017-09-21T19:36:14,GoogleNewsHndi,21/9/2017,19:36:14,0,0,1,0
8,Fatima.,9.11E+17,0,2,0,My tweet makes it about women and men because all I have been hearing and reading is Mahira Khan. Not Ranbir.,2017-09-21T19:36:20,notsocurvy,21/9/2017,19:36:20,0,0,1,0
9,Think a little bit,9.11E+17,2,0,0,"@TheMahiraKhan 
Hamarey bicharney ka saniha bhi kamal guzra

hey zakhmi ap bhi ham bhi!  pic.twitter.com/egNtCG61R7",2017-09-21T19:36:22,TheMRafi,21/9/2017,19:36:22,0,0,1,0
10,Sara fawad khan,9.11E+17,8,0,1,Mahira Why Ranbir? Are you crazy? I 'm shocked #MahiraKhan @TheMahiraKhan pic.twitter.com/jvRWSl5gXO,2017-09-21T19:36:23,fk656627,21/9/2017,19:36:23,0,0.36,0.64,-0.6199
11,DailyPakistan Global,9.11E+17,2,0,3,"Mahira Khan, Ranbir Kapoor spotted SMOKING together outside New York hotel #daily-pakistan #mahira-khan #pakistanhttp://bit.ly/2xUy2zk ",2017-09-21T19:36:40,dailypakistangl,21/9/2017,19:36:40,0,0,1,0
12,HusnainKhan,9.11E+17,0,0,0,@TheMahiraKhan Fatway lagana shuru aap py ,2017-09-21T19:36:55,husnainkhan1,21/9/2017,19:36:55,0,0,1,0
13,Fatimah khan,9.11E+17,1,1,0,But for saint like mahira khan its nbearable,2017-09-21T19:36:59,Fateemayy,21/9/2017,19:36:59,0.317,0,0.683,0.5023
14,Waseem Ahamad,9.11E+17,1,0,0,Mahira Khan’s latest bridal photo shoot is magical and it will leave you spellbo... http://indianexpress.com/article/lifestyle/fashion/mahira-khans-latest-photo-shoot-is-magical-and-it-will-leave-you-spellbound-4844028/ … |  by https://twibble.io pic.twitter.com/ORWpbzqtve,2017-09-21T19:37:12,waseemahamad972,21/9/2017,19:37:12,0,0.184,0.816,-0.3818
15,Areeb Shariff,9.11E+17,0,0,0,Why are ppl against Mahira Khan lmaoo she can do whatever she wants,2017-09-21T19:37:54,eareeb,21/9/2017,19:37:54,0,0,1,0
16,S.J,9.11E+17,0,1,0,"@TheMahiraKhan So the rumours were true then. Casanova Ranbir ka aik aur shikaar. As your fan, I'm disappointed to c this. pic.twitter.com/X6OmWyGqF5",2017-09-21T19:38:54,vmorghulis1860,21/9/2017,19:38:54,0.195,0.118,0.687,0.25
17,. Shah...!,9.11E+17,0,0,0,"#RanbirKapoor snapped with @TheMahiraKhan at NYC 
#MahiraKhan pic.twitter.com/rHcfs89b5j",2017-09-21T19:39:06,Shahtastic1,21/9/2017,19:39:06,0,0,1,0
18,Nievv,9.11E+17,1,0,0,"Mahira khan the Bitch,
Ok she is out of our society. https://twitter.com/OfficialHanzala/status/910946445607473152 …",2017-09-21T19:39:14,NievMemon,21/9/2017,19:39:14,0.138,0.237,0.625,-0.3818
19,Eleutheromaniac,9.11E+17,42,5,10,Who cares if Ranbir Kapoor is doing Mahira Khan. He has a Biopic movie coming out. Any publicity is good publicity . #Mahirakhan,2017-09-21T19:39:57,Eleutromaniac,21/9/2017,19:39:57,0.237,0,0.763,0.7096
20,Mishal SIddiqui,9.11E+17,3,2,1,Everyone has its Personal life but that's not the way you represent your country on the streets of newyork ! #itshurting @TheMahiraKhan pic.twitter.com/ndqeZlMD3g,2017-09-21T19:40:00,MishalSIddiqu12,21/9/2017,19:40:00,0,0,1,0
21,Total Gentle,9.11E+17,2,2,1,Omg... Mahira khan is somking i can't handle it yaar !,2017-09-21T19:40:22,OhhBoy_Arjun,21/9/2017,19:40:22,0,0,1,0
22,Dinithi,9.11E+17,0,1,2,Hold. The. Phone.  Are Mahira Khan and Ranbir Kapoor dating?! pic.twitter.com/Ri0IcfxgmY,2017-09-21T19:40:34,adeedoes,21/9/2017,19:40:34,0,0,1,0
23,Bilal,9.11E+17,6,0,1,lmao pakistani men and women are at it again calling mahira khan non-muslim...for smoking,2017-09-21T19:40:59,Sillly_Point,21/9/2017,19:40:59,0.231,0,0.769,0.5994
24,nervous system,9.11E+17,9,2,2,mahira khan is too hot for ranbir kapoor guys he is in her friendzone,2017-09-21T19:41:05,Abbasayy,21/9/2017,19:41:05,0,0,1,0
25,Saba,9.11E+17,1,0,0,Just wondering where did Mahira Khan mention that she's representing Islam?? Why everyone is bringing religion into this? :-/,2017-09-21T19:41:09,ssabasays,21/9/2017,19:41:09,0,0.144,0.856,-0.466
26,Feyza,9.11E+17,4,0,0,"Gerçek olsan bariii 
#RanbirKapoor #MahiraKhan pic.twitter.com/VwQOEWhPW9",2017-09-21T19:42:03,FernwehFeyz,21/9/2017,19:42:03,0,0,1,0
27,Noorulain khan I,9.11E+17,1,0,0,Everyone watching your shameless pictures with ranbir kapoor ...shame on you ...i was like you but not now image has lost @TheMahiraKhan,2017-09-21T19:42:14,9Noorulain,21/9/2017,19:42:14,0.069,0.183,0.748,-0.4404
28,Kashif,9.11E+17,1,1,0,Not that it's my place to say it but Mahira Khan with that dressing and cigarette is a Shocker!,2017-09-21T19:42:50,KashifDotAkhtar,21/9/2017,19:42:50,0,0.114,0.886,-0.2942
29,Hamza Khan,9.11E+17,1,0,0,"I know it’s her personal life & all, but this is definitely a huge hit, if not the end, of the ‘Mahira Khan’ brand as we know it. pic.twitter.com/n3QEwD5PYD",2017-09-21T19:43:29,Hamzipti,21/9/2017,19:43:29,0.213,0,0.787,0.7579
30,Farhan Rajput,9.11E+17,0,0,0,@TheMahiraKhan hawn g keh den sb muslim apko e target krty hain hm toh muslim e nae hain ap toh newyork ranbeer k sth ludo khel rae thi? pic.twitter.com/TcluAzHGTt,2017-09-21T19:43:36,farhanrajput199,21/9/2017,19:43:36,0,0,1,0
31,Noor Inam,9.11E+17,189,61,96,So the people of country who watch most porn are getting mad at the semi nude pictures of mahira khan. How hypocrite,2017-09-21T19:43:39,noorinam1,21/9/2017,19:43:39,0,0.132,0.868,-0.4939
32,Partiksha Verma,9.11E+17,0,0,0,@TheMahiraKhan mahi #ranbir @zoom @Bollyhungama @bollywood_life #spotted,2017-09-21T19:43:46,PartikshaV,21/9/2017,19:43:46,0,0,1,0
33,Suraj kumar,9.11E+17,1,0,0,@TheMahiraKhan  look it you ..you can kill any one  https://twitter.com/lovekhushi4/status/910911964024573952 …,2017-09-21T19:44:02,suraj_confused,21/9/2017,19:44:02,0,0.343,0.657,-0.6908
34,Rafia Mudasir,9.11E+17,0,0,0,@TheMahiraKhan   do you like to say anything about this madam? pic.twitter.com/I68mPb2GmI,2017-09-21T19:44:11,RafiaMudasir,21/9/2017,19:44:11,0.2,0,0.8,0.3612
35,Ehtesham Hussain.,9.11E+17,0,0,0,Hahahahaha! ,2017-09-21T19:44:19,Ehtesham300,21/9/2017,19:44:19,0,0,1,0
36,ماہٗ مِثّل,9.11E+17,11,1,0,I have more respect for @TheMahiraKhan then any other woman in this country. @ Haram Police,2017-09-21T19:44:32,7heikh,21/9/2017,19:44:32,0.207,0,0.793,0.5256
37,Prachi Das 🇮🇳,9.11E+17,3,2,0,"In the 1st pic..I thought that actress is Mahira Khan
Damn! https://twitter.com/kamaalrkhan/status/910945121280987136 …",2017-09-21T19:45:04,iPrachiDas,21/9/2017,19:45:04,0,0.214,0.786,-0.4574
38,z,9.11E+17,95,7,25,Do people think Mahira Khan is real life Khirad who only says “Ashar main aapki Khirad hoon” ????,2017-09-21T19:45:10,NurKhairDe,21/9/2017,19:45:10,0,0,1,0
39,waleed Malik,9.11E+17,0,1,0,Mahira khan js goals .eh,2017-09-21T19:45:14,Mrweedu,21/9/2017,19:45:14,0,0,1,0
40,G. Hussain,9.11E+17,0,0,0,"Lo bhai, mahira khusri hoti tou liberals ne rona tha.
Women she is tou feminists are crying.
@TheMahiraKhan banda hi ban ja",2017-09-21T19:45:39,EmirOfMecca,21/9/2017,19:45:39,0,0.251,0.749,-0.7717
41,Maryam,9.11E+17,0,1,0,That is Mahira Khan,2017-09-21T19:45:44,BefourMaryam,21/9/2017,19:45:44,0,0,1,0
